"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"707036559208394752","","","2016-03-08 02:53:46 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The coaches gave up on the game. The players didn't get the message.","","","",""
"706216482334576642","","","2016-03-05 20:35:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","at this point, it sounds like the San Bern. iPhone might be able to solve the Kennedy assassination if unlocked or maybe give us world peace","","","",""
"705571296046743552","","","2016-03-04 01:51:20 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Harmony in C","","","",""
"704796227448098817","","","2016-03-01 22:31:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","How many unicorns can there be before they aren't unicorns anymore?","","","",""
"704423961845608448","","","2016-02-29 21:52:14 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","What are you willing to give up for change?","","","",""
"703833813474869248","","","2016-02-28 06:47:12 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Unpredictable leads to fear","","","",""
"703804588084736000","","","2016-02-28 04:51:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BlackGirlNerds: RT if you're NOT going to see Gods of Egypt","703279336120557568","480819245","2016-02-26 18:03:54 +0000",""
"703489991981182976","","","2016-02-27 08:00:58 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Your politics tell us your values","","","",""
"702774016184946690","","","2016-02-25 08:35:57 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You decide who you are and who you want to be","","","",""
"702576380765024256","","","2016-02-24 19:30:37 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I know how this ends","","","",""
"702197135039602688","","","2016-02-23 18:23:37 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The lies know no bounds, he's not even a real doctor","","","",""
"701841504331902976","","","2016-02-22 18:50:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You can't remember everything","","","",""
"700774728038920192","","","2016-02-19 20:11:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I takes a bunch of work to not be defensive in the face of criticism","","","",""
"700484247228813312","","","2016-02-19 00:57:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Perhaps we should have third party reviews of police incidents that have been scrubbed of race and gender to remove bias","","","",""
"700433352948453377","","","2016-02-18 21:34:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FioraAeterna: the NSA in a nutshell https://t.co/pzhdBYGKa4","699815623954567168","2468699718","2016-02-17 04:40:21 +0000","http://twitter.com/FioraAeterna/status/699815623954567168/photo/1,http://twitter.com/FioraAeterna/status/699815623954567168/photo/1"
"699116339693092864","","","2016-02-15 06:21:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","my mail client has an ""autocompose a valentine"" button.  I think they're missing the point of the whole thing.","","","",""
"697879323852713984","","","2016-02-11 20:26:11 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You could spend a bunch of time figuring out how things fit together","","","",""
"697599508494946305","","","2016-02-11 01:54:18 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Driving uphill at sunset, directly into the sun","","","",""
"696787492691783680","","","2016-02-08 20:07:38 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Your age is what you make of it","","","",""
"696591967686234112","","","2016-02-08 07:10:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""I had enough of what ain't right"" - Mal","","","",""
"695794117410881537","","","2016-02-06 02:20:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Moore's law ends when we no longer value speed as one of our top priorities","","","",""
"695695601170657280","","","2016-02-05 19:48:51 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Conveniences, when your time is worth more than your money","","","",""
"695678296613351424","","","2016-02-05 18:40:05 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","One of the most powerful tools people have is the ability to walk away","","","",""
"694680966489460736","","","2016-02-03 00:37:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Do they understand, or have they stopped trying to understand","","","",""
"694254289858867200","","","2016-02-01 20:21:35 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Art is the mechanism that we use to modify people's emotions","","","",""
"693266064696700929","","","2016-01-30 02:54:44 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Running downhill on sand covered concrete","","","",""
"692884739858964483","","","2016-01-29 01:39:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","By Predators, I mean cloaked alien hunters that laugh at you and could go nuclear at any time","","","",""
"692884461101264897","","","2016-01-29 01:38:23 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","People who chose mates based on their innocence sure seem like Predators to me","","","",""
"692467619606167553","","","2016-01-27 22:02:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Imagination is a key part of empathy","","","",""
"692222252365058048","","","2016-01-27 05:47:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The future is bright and I can't wait to see it","","","",""
"690351942141382657","","","2016-01-22 01:55:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @cindygallop: Women, I don't say this lightly. This is the most important post you'll ever read. You too men @pauletteperhach https://t.…","689897522022719489","8622212","2016-01-20 19:49:21 +0000","https://thebillfold.com/a-story-of-a-fuck-off-fund-648401263659#.nmw86oj6v,https://thebillfold.com/a-story-of-a-fuck-off-fund-648401263659#.nmw86oj6v"
"688810338733588480","688810098068553730","232291320","2016-01-17 19:49:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@jeffsussna @Buck I'm glad I'm not the only one that noticed this.  I never thought of him as sexist, but consistency is important","","","",""
"688465699140800512","","","2016-01-16 20:59:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","People are messy","","","",""
"688463152594341888","","","2016-01-16 20:49:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","this banana has some battle scars","","","",""
"688103012485566464","","","2016-01-15 20:58:37 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","It's easy to reduce people to caricatures, but never entirely accurate","","","",""
"687739298603372544","","","2016-01-14 20:53:21 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Good planning can't overcome bad quality work","","","",""
"687454484574781441","","","2016-01-14 02:01:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Why are the empty cups multiplying?","","","",""
"687050563549179904","","","2016-01-12 23:16:33 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sometimes you think you parked straight, but when you get out, you see its all crooked","","","",""
"686687556944019456","","","2016-01-11 23:14:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","How many details do you see?","","","",""
"686459283039358977","","","2016-01-11 08:07:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","remember, you make the magic in the world","","","",""
"685560564941078528","","","2016-01-08 20:35:50 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The holiday where families put a large dead caracus in the living room and decorate it. Then throw it out on the curb when it's over","","","",""
"685513818101776384","","","2016-01-08 17:30:05 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","- That's a mascot
- No, that's a furry that got employment","","","",""
"685200522123423744","","","2016-01-07 20:45:09 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","If you say you're recruiting top developers, but you're not paying for top developers, are you being honest with yourself?","","","",""
"685199549195894784","","","2016-01-07 20:41:17 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Who's looking at who's face is an interesting measure of attentiveness in a conversation","","","",""
"685158768863129600","","","2016-01-07 17:59:14 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The outside doesn't always reflect the inside","","","",""
"684556123785924608","","","2016-01-06 02:04:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The misfortune of you","","","",""
"684432954710306816","684432671238324224","74501910","2016-01-05 17:55:07 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@samaiorca yup, and today there's water everywhere","","","",""
